All the intelligent work was done by Cavor.	Cavor did All the intelligent work . 
 Eustacia was nettled by her own contrivances.	  her own contrivances nettled Eustacia . 
    The little articles you gave me in the early part of our friendship     are returned by the bearer of this letter.	     the bearer of this letter      returns The little articles you gave me in the early part of our friendship . 
A bleeding about the poll on Sunday afternoons was amply accounted for by the explanation.	the explanation amply accounted for A bleeding about the poll on Sunday afternoons . 
 The conversation on Yeobright had been started by a distant view of the young man rambling leisurely across the heath before them.	  a distant view of the young man rambling leisurely across the heath before they had started The conversation on Yeobright . 
 The silence was broken by the clash of the garden gate, a tap at the door, and its opening.	  the clash of the garden gate , a tap at the door , and its opening broke The silence . 
All dark objects on the earth that lay towards the sun were overspread by a purple haze, against which groups of wailing gnats shone out, rising upwards and dancing about like sparks of fire.	a purple haze , against which groups of wailing gnats shone out , rising upwards and dancing about like sparks of fire overspread All dark objects on the earth that lay towards the sun . 
“They were only cut out by some lad with his knife, and are worth nothing.”	“ some lad only cut out them with his knife , and are worth nothing . ” 
The men had been attracted to this object by a voice behind the pipe asking for a light.	a voice behind the pipe asking for a light had attracted to this object The men . 
When the coachman stopped he was told to drive home again: the whole thousand pounds had been won back by the man who was going to sell.”	When the coachman stopped him was told to drive home again : the man who was going to sell had won back the whole thousand pounds . ” 
This time the stakes were won by Wildeve.	This time Wildeve won the stakes . 
 They were surrounded by dusky forms between four and five feet high, standing a few paces beyond the rays of the lantern.	  dusky forms between four and five feet high surrounded them , standing a few paces beyond the rays of the lantern . 
It had not been comprehended by the reddleman that at halfway through the performance the game was continued with the money of another person; and it was an error which afterwards helped to cause more misfortune than treble the loss in money value could have done.	the reddleman not had comprehended It that at halfway through the performance the game was continued with the money of another person ; and it was an error which afterwards helped to cause more misfortune than treble the loss in money value could have done . 
She had been strictly charged by her aunt to say nothing to her husband of this gift; and Wildeve, as was natural enough, had not brought himself to mention to his wife a single particular of the midnight scene in the heath.	her aunt strictly had charged her to say nothing to her husband of this gift ; and Wildeve , as was natural enough , had not brought himself to mention to his wife a single particular of the midnight scene in the heath . 
At the moment of her departure he could prevaricate no longer, and, confessing to the gambling, told her the truth as far as he knew it—that the guineas had been won by Wildeve.	At the moment of her departure he could prevaricate no longer , and , confessing to the gambling , told her the truth as far as he knew it — that Wildeve had won the guineas . 
Her beginning to dance had been like a change of atmosphere; outside, she had been steeped in arctic frigidity by comparison with the tropical sensations here.	Her beginning to dance had been like a change of atmosphere ; outside , comparison with the tropical sensations here had steeped in arctic frigidity her . 
Had Eustacia mingled with the other girls in their ordinary daily walks the case would have been different: here she was not inconvenienced by excessive inspection, for all were wrought to their brightest grace by the occasion.	Had Eustacia mingled with the other girls in their ordinary daily walks the case would have been different : here excessive inspection not inconvenienced her , for all were wrought to their brightest grace by the occasion . 
When Wildeve came on to that spot his ankle was caught by something, and he fell headlong.	When Wildeve came on to that spot something caught his ankle , and he fell headlong . 
The reddleman had been almost exasperated by the sight of Wildeve outside Clym’s house, and he was prepared to go to any lengths short of absolutely shooting him, to terrify the young innkeeper out of his recalcitrant impulses.	the sight of Wildeve outside Clym ’s house almost had exasperated The reddleman , and he was prepared to go to any lengths short of absolutely shooting him , to terrify the young innkeeper out of his recalcitrant impulses . 
 At that moment the chasm in their lives which his love for Eustacia had caused was not remembered by Yeobright, and to him the present joined continuously with that friendly past that had been their experience before the division.	  At that moment Yeobright not remembered the chasm in their lives which his love for Eustacia had caused , and to he the present joined continuously with that friendly past that had been their experience before the division . 
“She has been stung by an adder!”	“ an adder has stung her ! ” 
She was disturbed in her reverie by a voice behind, and turning her head beheld the old lover and fortunate inheritor of wealth immediately beside her.	a voice disturbed in her reverie her behind , and turning her head beheld the old lover and fortunate inheritor of wealth immediately beside she . 
Despair had been added to his original grief by the unfortunate disclosure of the boy who had received the last words of Mrs. Yeobright—words too bitterly uttered in an hour of misapprehension.	the unfortunate disclosure of the boy who had received the last words of Mrs. Yeobright had added to his original grief Despair words too bitterly uttered in an hour of misapprehension — . 
I am sent by the rich gentleman at the Woman, that we used to call the landlord, to tell ’ee that Mrs. Wildeve is doing well of a girl, which was born punctually at one o’clock at noon, or a few minutes more or less; and ’tis said that expecting of this increase is what have kept ’em there since they came into their money.”	the rich gentleman at the Woman sends me , that we used to call the landlord , to tell ’ ee that Mrs. Wildeve is doing well of a girl , which was born punctually at one o’clock at noon , or a few minutes more or less ; and ’ tis said that expecting of this increase is what have kept ’em there since they came into their money . ” 
 No reply was returned by his companion, since none could be given; and when Venn left, a few minutes later, Clym had passed from the dullness of sorrow to the fluctuation of carking incertitude.	  his companion returned No reply , since none could be given ; and when Venn left , a few minutes later , Clym had passed from the dullness of sorrow to the fluctuation of carking incertitude . 
He had been so shut off from her by the dignity of her look and the pride of her speech, except at that one blissful interval when he was allowed to hold her hand, that he had hardly deemed her a woman, wingless and earthly, subject to household conditions and domestic jars.	the dignity of her look and the pride of her speech , except at that one blissful interval when him was allowed to hold her hand so had shut off from she him , that he had hardly deemed her a woman , wingless and earthly , subject to household conditions and domestic jars . 
The moon and stars were closed up by cloud and rain to the degree of extinction.	cloud and rain closed up The moon and stars to the degree of extinction . 
Thomasin surely would be broken down by the sudden and overwhelming nature of this event.	the sudden and overwhelming nature of this event surely would break down Thomasin . 
 “I was taken rather by surprise.	  “ surprise took rather me . 
His mother’s old chair was opposite; it had been sat in that evening by those who had scarcely remembered that it ever was hers.	His mother ’s old chair was opposite ; those who had scarcely remembered that it ever was hers had sat in that evening it . 
 The farms and cultivated lands were all held by Saxons, who although nominally handed over to the nobles to whom William and his successors had given the fiefs, saw but little of their Norman masters.	  Saxons , who although nominally handed over to the nobles to whom William and his successors had given the fiefs , saw but little of their Norman masters all held The farms and cultivated lands . 
She was accompanied by her nurse and two retainers on foot.	her nurse and two retainers on foot accompanied her . 
 The nurse was slain by a blow with a battle-axe, and Margaret, snatched from her palfrey, was thrown across the saddle-bow of one of the mounted men, who then with his comrades dashed off at full speed.	  a blow with a battle - axe slew The nurse , and Margaret , snatched from her palfrey , was thrown across the saddle - bow of one of the mounted men , who then with his comrades dashed off at full speed . 
For some time he was met by the solid ground, but presently the butt of the staff went through suddenly, pitching him on his head, amidst a suppressed laugh from his comrades.	For some time the solid ground met him , but presently the butt of the staff went through suddenly , pitching him on his head , amidst a suppressed laugh from his comrades . 
 "This first attempt to rescue the holy sepulchre was followed by others equally wild, misguided, and unfortunate.	others equally wild , misguided , and unfortunate followed   " This first attempt to rescue the holy sepulchre . 
There he was joined by many from England, as well as from France and other countries.	There many from England , joined him as well as from France and other countries . 
The Emperor Conrad, with the Germans, was attacked by the Turk Saladin of Iconium, and was defeated with a loss of 60,000 men.	the Turk Saladin of Iconium attacked The Emperor Conrad , with the Germans , , and was defeated with a loss of 60,000 men . 
It shall be kept by my men-at-arms, and there shall be a raised place for King Phillip and myself, who will be the judges of the conflict.	my men - at - arms shall keep It , and there shall be a raised place for King Phillip and myself , who will be the judges of the conflict . 
This was caused by the fact of the English fleet, which had been ordered to be there upon their arrival, failing to keep the agreement.	the fact of the English fleet , which had been ordered to be there upon their arrival , failing to keep the agreement caused This . 
 The gaiety of the camp was heightened by the arrival of many nobles and dames from Italy.	  the arrival of many nobles and dames from Italy heightened The gaiety of the camp . 
 As Cuthbert and his followers scrambled upon the deck, they were attacked by those of the crew and passengers who were standing near; but it was evident at once that the chiefs of the expedition had not heard the hail, and that there was no general plan of defence against them.	  As Cuthbert and his followers scrambled upon the deck , those of the crew and passengers who were standing near attacked them ; but it was evident at once that the chiefs of the expedition had not heard the hail , and that there was no general plan of defence against they . 
Some of the ships whose crews were slower or less skilful than the others, were caught by the gale before they could get their sails snug, and the great sheets of white canvas were blown from the bolt ropes as if made of paper, and a blackness which could almost be felt, covered the sea, the only light being that given by the frothing waters.	the gale caught Some of the ships whose crews were slower or less skilful than the others , before they could get their sails snug , and the great sheets of white canvas were blown from the bolt ropes as if made of paper , and a blackness which could almost be felt , covered the sea , the only light being that given by the frothing waters . 
This was answered from the walls by a shower of stones and darts from the machines.	a shower of stones and darts from the machines answered from the walls This . 
They had now been joined by all the vessels left behind at Rhodes, and it was found that only a few were missing, and that the great storm, terrible as it had been, had inflicted less damage upon the fleet than was at first feared.	all the vessels left behind at Rhodes now had joined them , and it was found that only a few were missing , and that the great storm , terrible as it had been , had inflicted less damage upon the fleet than was at first feared . 
The knights in their heavy armour and powerful steeds were left behind as if standing still, by the fleet Bedouins on their desert coursers; and the pursuers, exhausted and worn out, were always glad to regain the ranks of the army.	the fleet Bedouins on their desert coursers left behind as if standing still , The knights in their heavy armour and powerful steeds ; and the pursuers , exhausted and worn out , were always glad to regain the ranks of the army . 
Separated from you in the battle, and attended only by my standard-bearer, I was surrounded by the Saracens.	Separated from you in the battle , and attended only by my standard - bearer , the Saracens surrounded me . 
 Although unconquered in the fray, the Christian army was weakened by its sufferings to such an extent that it was virtually brought to a standstill.	  Although unconquered in the fray , its sufferings weakened the Christian army to such an extent that it was virtually brought to a standstill . 
King Richard and his force, though making the most desperate efforts to return to the assistance of the rearguard, were baffled by the sturdy resistance of the Saracens, and the position of those in the rear was fast becoming hopeless.	the sturdy resistance of the Saracens , though making the most desperate efforts to return to the assistance of the rearguard , baffled King Richard and his force , and the position of those in the rear was fast becoming hopeless . 
He was seized by four slaves, gagged, tied hand and foot, covered with a thick burnous, and carried out from his cell.	four slaves , gagged , tied hand and foot , seized him covered with a thick burnous , and carried out from his cell . 
Their Christianity may be suspected by their neighbours, but as they do no man harm, and carry on their worship in secret, they are little interfered with.	their neighbours may suspect Their Christianity , but as they do no man harm , and carry on their worship in secret , them are little interfered with . 
Whatever may be said of the Great Crusade, it will, at least, be allowed by all men, and for all time, that had the princes and soldiers of other nations done as your Majesty and your followers have done, the holy city would have fallen into our hands within a month of our putting foot upon the soil.	Whatever may be said of the Great Crusade , all men , at least , will allow it , and for all time , that had the princes and soldiers of other nations done as your Majesty and your followers have done , the holy city would have fallen into our hands within a month of our putting foot upon the soil . 
I am surrounded by enemies, and, alas!	enemies surround me , and , alas ! 
He himself had been saved from injury by his harness, for he still had on his greaves and leg pieces.	his harness had saved from injury him himself , for he still had on his greaves and leg pieces . 
The greater portion, indeed, of the pack had been overwhelmed by the avalanche, and the rest, frightened and scared, had fled to their fastnesses in the woods.	the avalanche had overwhelmed The greater portion , indeed , of the pack , and the rest , frightened and scared , had fled to their fastnesses in the woods . 
Cuthbert's steed was led by one of the archers, and he himself walked gaily alongside of Sir Ernest, followed by his retainers.	one of the archers led Cuthbert 's steed , and he himself walked gaily alongside of Sir Ernest , followed by his retainers . 
The hatred of the baron towards the English would now be heightened by the daring act of insult to the arms of Austria, and this would give a pretext for any deed of violence which might be wrought.	the daring act of insult to the arms of Austria now would heighten The hatred of the baron towards the English , and this would give a pretext for any deed of violence which might be wrought . 
The side facing this was formed by the wall of the city, and the fourth opened upon a street of the town.	the wall of the city formed The side facing this , and the fourth opened upon a street of the town . 
Many had been killed by these missiles passing through and through the cuirass and backpiece.	these missiles had killed Many passing through and through the cuirass and backpiece . 
 This exclamation was provoked by the forester throwing himself on his knees before Sir Cuthbert, and imploring his pardon for the dire strait into which his imprudence had drawn him.	  the forester throwing himself on his knees before Sir Cuthbert provoked This exclamation , and imploring his pardon for the dire strait into which his imprudence had drawn him . 
Asking for the residence of the Burgomaster, Cuthbert at once proceeded thither, and stated that he was an English knight on the return from the Crusades; that he had been foully entreated by the Lord of Fussen, who had been killed in a fray by his followers; and that he besought hospitality and refuge from the authorities of Basle.	Asking for the residence of the Burgomaster , Cuthbert at once proceeded thither , and stated that he was an English knight on the return from the Crusades ; that the Lord of Fussen , who had been killed in a fray by his followers foully had entreated him ; and that he besought hospitality and refuge from the authorities of Basle . 
This was attested by several of the nobles who were with us and who returned safely to England.	several of the nobles who were with we and who returned safely to England attested This . 
Prince Arthur of Brittany was named by King Richard from the first as his successor.	King Richard named Prince Arthur of Brittany from the first as his successor . 
He had been supplied by Sir Baldwin with suitable attire for himself and his followers, and now rode as a simple knight, without arms or cognizance, journeying from one part to another.	Sir Baldwin had supplied him with suitable attire for himself and his followers , and now rode as a simple knight , without arms or cognizance , journeying from one part to another . 
Even the threats of the pope, which although Prince John defied them yet terrified him at heart, were derided by his follower, who feared no one thing in the world, save, perhaps, the return of King Richard from captivity.	his follower , who feared no one thing in the world , derided Even the threats of the pope , which although Prince John defied them yet terrified him at heart , save , perhaps , the return of King Richard from captivity . 
  The return of Sir Rudolph's party to Evesham was not unmarked by incident, for as they passed along the road, from an ambush in a wood other archers, whose numbers they could not discover, shot hard upon them, and many fell there who had escaped from the square at Worcester.	   incident not unmarked The return of Sir Rudolph 's party to Evesham , for as they passed along the road , from an ambush in a wood other archers , whose numbers they could not discover , shot hard upon they , and many who had escaped from the square at Worcester fell there . 
 That Sir Rudolph had been attacked by a party of archers was evident; but whence they had shot, or how they had come upon the spot at the time, or whither they had gone, were mysteries that could not be solved.	  That a party of archers had attacked Sir Rudolph was evident ; but whence they had shot , or how they had come upon the spot at the time , or whither they had gone , were mysteries that could not be solved . 
When, as he doubted not, the abbess was on the point of yielding up the ward, the good knight was suddenly set upon by the rascals of the town, who slew some of his companions and followers, and did grievously ill-treat the remainder.	When , as he doubted not , the abbess was on the point of yielding up the ward , the rascals of the town , who slew some of his companions and followers suddenly set upon the good knight , and did grievously ill - treat the remainder . 
This was heightened by the fact that upon the following day Sir Charles Everest, with 500 mercenaries of the prince, together with Sir Rudolph and his following, and several other barons favourable to the cause of the prince, were heard to be approaching the town.	the fact that upon the following day Sir Charles Everest , with 500 mercenaries of the prince , together with Sir Rudolph and his following , and several other barons favourable to the cause of the prince , were heard to be approaching the town heightened This . 
She was attended by two of the sisters, both of whom, as well as herself, were dressed as countrywomen.	two of the sisters , both of whom , as well as herself , attended her were dressed as countrywomen . 
 Here he was interrupted by a cry of rage which broke from the assembled foresters.	  Here a cry of rage which broke from the assembled foresters interrupted him . 
Late one evening, the lady superior was alarmed by a violent knocking at the door.	a violent knocking at the door , the lady superior alarmed Late one evening . 
It is approached by a very heavy slab of stone in the great hall.	a very heavy slab of stone in the great hall approaches It . 
 When they reached the forest, they were saluted by a shower of arrows; but as all were clad in mail, these at a distance effected but little harm.	  When they reached the forest , a shower of arrows saluted them ; but as all were clad in mail , these at a distance effected but little harm . 
The gates also were barred by the obstacle.	the obstacle also barred The gates . 
The process was facilitated by the fact that the battlements had been shot away by the great stones, and there was a clear space on which the drawbridges could fall.	the fact that the battlements had been shot away by the great stones facilitated The process , and there was a clear space on which the drawbridges could fall . 
 Several efforts were made by Sir Rudolph, who fought with a bravery worthy of a better cause, to assault and batter down the door.	  Sir Rudolph , who fought with a bravery worthy of a better cause , to assault and batter down the door made Several efforts . 
My castle and lands have been taken by my neighbour, with whom for generations my family have been at feud.	my neighbour , with whom for generations my family have been at feud has taken My castle and lands . 
The baron, too, is hated by his neighbours, and could I inflict a crushing blow upon him, methinks it would be so long a time before he could assemble a force, that I might regain my castle and put it in an attitude of defence before he could take the field against me."	his neighbours , too , hate The baron , and could I inflict a crushing blow upon he , methinks it would be so long a time before he could assemble a force , that I might regain my castle and put it in an attitude of defence before he could take the field against I . " 
If to this arrow were attached a light cord, it could be gained by one on the other side, and a stronger cord hauled over.	If to this arrow were attached a light cord , one on the other side could gain it , and a stronger cord hauled over . 
They were now joined by the rest of the party, and Sir Adelbert leading the way, and followed by Cuthbert and Blondel, began cautiously to ascend the rope ladder.	the rest of the party now joined them , and Sir Adelbert leading the way , and followed by Cuthbert and Blondel , began cautiously to ascend the rope ladder . 
The English envoy was received by the emperor surrounded by his nobles.	the emperor surrounded by his nobles received The English envoy . 
 This is greatly appreciated by Jimmy Nowlett, who is suspected, especially by his wife, of being more cheerful when on the roads than when at home.	  Jimmy Nowlett , who is suspected , especially by his wife , of being more cheerful when on the roads than when at home greatly appreciates This . 
 The party had been increased by Jimmy Nowlett, the bullocky, who had just arrived with a load of fencing wire and provisions for Middleton.	  Jimmy Nowlett , the bullocky , who had just arrived with a load of fencing wire and provisions for Middleton had increased The party . 
One was occupied by a man who was “generally useful”, and the other was the surgery, office, and bedroom 'pro tem.' of Doc.	a man who was “ generally useful ” occupied One , and the other was the surgery , office , and bedroom ' pro tem . ' of Doc . 
Otherwise they are taken in charge by the constable who officiates at the inquest, and forwarded to the Minister of Justice along with the depositions.	Otherwise the constable who officiates at the inquest takes in charge them , and forwarded to the Minister of Justice along with the depositions . 
The selector was attracted by an unusual commotion and a cloud of dust among his cabbages, and came along with his gun in time to witness the fight.	an unusual commotion and a cloud of dust among his cabbages attracted The selector , and came along with his gun in time to witness the fight . 
You are encouraged again by a glimpse of Tom putting on a clean collar and fixing himself up a bit; but when you are ready to go, and ask him if he's coming a bit down the street with you, he says he thinks he will in such a disinterested, don't-mind-	a glimpse of Tom putting on a clean collar and fixing himself up a bit encourages again You ; but when you are ready to go , and ask him if he 's coming a bit down the street with you , he says he thinks he will in such a disinterested , don't - mind- 
He is not supposed, by the rules of the shed, the Union, and humanity, to take a sheep out of the pen AFTER the bell goes (smoke-ho, meals, or knock-off), but his watch is hanging on the post, and he times himself to get so many sheep out of the pen BEFORE the bell goes, and ONE MORE--the 'bell-sheep'--as it is ringing.	the rules of the shed , the Union , and humanity , not suppose , him to take a sheep out of the pen AFTER the bell goes ( smoke - ho , meals , or knock - off ) , but his watch is hanging on the post , and he times himself to get so many sheep out of the pen BEFORE the bell goes , and ONE MORE -- the ' bell - sheep'--as it is ringing . 
The worst yarns about a man are generally started by his own tribe, and the world believes them at once on that very account.	his own tribe generally starts The worst yarns about a man , and the world believes them at once on that very account . 
 In fact, large parts   of Australia are governed more by “dry” versus “wet” than by Spring-   Summer-Fall-Winter.	  In fact , “ dry ” versus “ wet ” governs more large parts    of Australia than by Spring-    Summer - Fall - Winter . 
Bob was looked upon by all his friends as a bad case of woman-shy.	all his friends looked upon Bob as a bad case of woman - shy . 
Though there was frantic buying and selling all around these two generals, the trading was gauged by the trend of their battle.	Though there was frantic buying and selling all around these two generals , the trend of their battle gauged the trading . 
These fortunes were made in the South by men who loved their section of the country more than they did wealth, and why should they not be employed to benefit that part of the country which their makers and owners loved?	men who loved their section of the country more than they did wealth made in the South These fortunes , and why should them not be employed to benefit that part of the country which their makers and owners loved ? 
Their anxiety was intensified by the publication, a few minutes later, of this item:     “Barry Conant in coming from the Sugar crowd after the close remarked    to a fellow broker, ‘By three o’clock to-morrow, Friday, the 13th, will    have a new meaning to Wall Street.’	the publication intensified Their anxiety , a few minutes later , of this item :      “ Barry Conant in coming from the Sugar crowd after the close remarked     to a fellow broker , ‘ By three o’clock to - morrow , Friday , the 13th , will     have a new meaning to Wall Street . ’ 
Those who were long of stock could easily be distinguished by their expressions of joy from the shorts, who had seen the handwriting on the wall and were filled with uncertainty, fear, terror.	their expressions of joy from the shorts , who had seen the handwriting on the wall and were filled with uncertainty , fear , terror easily could distinguish Those who were long of stock . 
His path was blocked by the fence surrounding old Trinity’s churchyard.	the fence surrounding old Trinity ’s churchyard blocked His path . 
From there a week before he had been sent to prison for theft, and that morning she had been turned into the street by her landlord.	From there a week before him had been sent to prison for theft , and that morning her landlord had turned into the street her . 
   An old gambler, whose life had been spent listening to the rattle of the drop-in-bound-out little roulette ball, was told by a fellow victim, as his last dollar went to the relentless tiger’s maw, that the keeper’s foot was upon an electric button which enabled him to make the ball drop where his stake was not.	    a fellow victim told An old gambler , whose life had been spent listening to the rattle of the drop - in - bound - out little roulette ball , , as his last dollar went to the relentless tiger ’s maw , that the keeper ’s foot was upon an electric button which enabled him to make the ball drop where his stake was not . 
On the intervening anniversary I had been compelled by self-interest and fear that he would really pull down the entire Wall Street structure, to rush in and fairly drag him off.	On the intervening anniversary self - interest and fear that he would really pull down the entire Wall Street structure , to rush in and fairly drag him off had compelled me . 
They are not endowed by God with superior wisdom, nor have they performed for their fellow-men any labour or given to them anything of value that entitles them to what they take.	God not endows them with superior wisdom , nor have they performed for their fellow - men any labour or given to they anything of value that entitles them to what they take . 
When stock speculation is dead, the people can no longer be robbed by the ‘System.’	When stock speculation is dead , the ‘ System no longer can rob the people . ’ 
A fiddle was played by a poet in the years gone by!	a poet played A fiddle in the years gone by ! 
    THE PLAYBOY OF THE WESTERN WORLD was first produced by the National Theatre Society, Ltd., at the Abbey Theatre, on Saturday, 26th January, 1907, under the direction of W. G. Fay.	     the National Theatre Society , Ltd. first produced THE PLAYBOY OF THE WESTERN WORLD , at the Abbey Theatre , on Saturday , 26th January , 1907 , under the direction of W. G. Fay . 
 THE WELL OF THE SAINTS was first produced in the Abbey Theatre in February, 1905, by the Irish National Theatre Society, under the direction of W. G. Fay, and with the following cast.	  the Irish National Theatre Society first produced in the Abbey Theatre in February , 1905 , THE WELL OF THE SAINTS , under the direction of W. G. Fay , and with the following cast . 
       The Teachers were just, for they had been appointed by the       Councils, and the Councils are the voice of all justice, for they       are the voice of all men.	        The Teachers were just , for the        Councils had appointed them , and the Councils are the voice of all justice , for they        are the voice of all men . 
Therefore it       cannot be destroyed by the whim of one.”	Therefore the whim of one        not can destroy it . ” 
       At first, man was enslaved by the gods.	        At first , the gods enslaved man . 
Then he was enslaved by the kings.	Then the kings enslaved him . 
The distinctively prairie, or southern, portion of the country and its outliers, constituting "Prince Rupert's Land," had been claimed by the Hudson's Bay Company since May, 1670, as an absolute freehold.	the Hudson 's Bay Company " had claimed The distinctively prairie , or southern , portion of the country and its outliers , constituting " Prince Rupert 's Land , since May , 1670 , as an absolute freehold . 
She was met by the stiffest of opposition, the opposition of a very old corporation strongly entrenched in the governing circles of both parties.	the stiffest of opposition met her , the opposition of a very old corporation strongly entrenched in the governing circles of both parties . 
An offer to purchase its territorial interests was made in January, 1866, by American capitalists, which was not unfavourably glanced at by the directorate.	American capitalists , which was not made in January , 1866 , An offer to purchase its territorial interests unfavourably glanced at by the directorate . 
This possibility was afterwards formulated, evidently as a threat, by Senator Charles Sumner during the "Alabama Claims" discussion, in his astonishing memorandum to Secretary Fish.	Senator Charles Sumner afterwards formulated , evidently as a threat , This possibility during the " Alabama Claims " discussion , in his astonishing memorandum to Secretary Fish . 
With the exception of the Hind Expedition, the Draper mission, the printing and discussion of the Red River settlers' petition and consequent Commission of Inquiry, certainly not much was done by Parliament.	With the exception of the Hind Expedition , the Draper mission , the printing and discussion of the Red River settlers ' petition and consequent Commission of Inquiry , certainly Parliament did not much . 
This sinister influence was only overcome by the great Conferences which resulted in the passage of the British North America Act in 1867, which contained a clause (Article 11, Sec. 146), inserted at the instance of Mr. Macdougall, providing for the inclusion of Rupert's Land and the North-West Territories upon terms to be defined in an address to the Queen, and subject to her approval.	the great Conferences which resulted in the passage of the British North America Act in 1867 , which contained a clause ( Article 11 , Sec . 146 ) , inserted at the instance of Mr. Macdougall , providing for the inclusion of Rupert 's Land and the North - West Territories upon terms to be defined in an address to the Queen , and subject to her approval only overcame This sinister influence . 
This was followed by the mission of Messrs. Cartier and Macdougall to London, to treat for the transfer of the Territories, which, through the mediation of Lord Granville, was finally effected.	the mission of Messrs. Cartier and Macdougall to London followed This , to treat for the transfer of the Territories , which , through the mediation of Lord Granville , was finally effected . 
The adjustment of these rights was assumed by the Canadian Parliament in the last but one of the resolutions introduced by Mr. Macdougall, and no time was lost after the transfer in carrying out its terms, "in conformity with the equitable principles which have uniformly governed the Crown in its dealings with the aborigines."	the Canadian Parliament assumed The adjustment of these rights in the last but one of the resolutions introduced by Mr. Macdougall , and no time was lost after the transfer in carrying out its terms , " in conformity with the equitable principles which have uniformly governed the Crown in its dealings with the aborigines . " 
The Indian title to the land, however, was not conveyed by the Crees and Saulteaux until 1817, when Peguis and others of their chiefs ceded a portion of their territory for a yearly payment of a quantity of tobacco.	the Crees and Saulteaux , however , not conveyed The Indian title to the land until 1817 , when Peguis and others of their chiefs ceded a portion of their territory for a yearly payment of a quantity of tobacco . 
In 1874 the Qu'Appelle Treaty, after prolonged discussion and inter-tribal jealousy and disturbance, was concluded by Lieutenant-Governor Morris, the Hon.	In 1874 Lieutenant - Governor Morris , the Hon , after prolonged discussion and inter - tribal jealousy and disturbance , concluded the Qu'Appelle Treaty . 
The final treaty, or No. 7, made with the Assiniboines and Blackfeet, the most powerful and predatory of all our Plain Indians, was concluded by Mr. Laird and the late Lieut.-Colonel McLeod in 1877.	Mr. Laird and the late Lieut.-Colonel McLeod concluded The final treaty , or No . 7 , made with the Assiniboines and Blackfeet , the most powerful and predatory of all our Plain Indians , in 1877 . 
To this end adjustments were made by the Hon.	To this end the Hon made adjustments . 
Father Lacombe was ordained a priest by Bishop Bourget, of Montreal, and in 1849 set out for Red River, where he became intimately associated with the French half-breeds, accompanying them on their great buffalo hunts, and ministering not only to the spiritual but to the temporal welfare of them and their descendants down to the present day.	Bishop Bourget , of Montreal ordained a priest Father Lacombe , and in 1849 set out for Red River , where he became intimately associated with the French half - breeds , accompanying them on their great buffalo hunts , and ministering not only to the spiritual but to the temporal welfare of they and their descendants down to the present day . 
Every one was impressed favourably by the fine country lying between these two cities, its intermediate towns and villages, and fast-growing industries.	the fine country lying between these two cities , its intermediate towns and villages , and fast - growing industries impressed favourably Every one . 
This harness is called by the trackers "otapanápi"--a Cree word--and it must be borne in mind that scarcely any language was spoken throughout this region other than Cree.	the trackers call This harness " otapanápi"--a Cree word -- and it must be borne in mind that scarcely any language was spoken throughout this region other than Cree . 
It is called by the Crees Ooskunaka Assustakee, and the chief described its great size in former days, and the tradition of its origin as told to him in his boyhood.	the Crees Ooskunaka Assustakee calls It , and the chief described its great size in former days , and the tradition of its origin as told to he in his boyhood . 
Most of them were got over slowly by combined poling and tracking, the line often breaking with the strain, and the boats being kept in the channel only by the most strenuous efforts of the experienced men on board.	combined poling and tracking got over slowly Most of they , the line often breaking with the strain , and the boats being kept in the channel only by the most strenuous efforts of the experienced men on board . 
The York boat was then shouldered off the rocks by main force, and all got under way again.	main force then shouldered off the rocks The York boat , and all got under way again . 
These gruesome stories were happily followed by an hour or two of song and pleasantry in Mr. McKenna's tent, ending in "Auld Lang Syne" and "God Save the Queen."	an hour or two of song and pleasantry in Mr. McKenna 's tent happily followed These gruesome stories , ending in " Auld Lang Syne " and " God Save the Queen . " 
These amusements, which often spun out till morning, were broken up by another rattling storm, which lasted all night and all the next day.	another rattling storm , which lasted all night and all the next day broke up These amusements , which often spun out till morning , . 
 This stream is almost choked at its discharge by a conglomeration of slimy roots, weeds and floatwood, and the banks are "a melancholy waste of putrid marshes."	  a conglomeration of slimy roots , weeds and floatwood almost chokes at its discharge This stream , and the banks are " a melancholy waste of putrid marshes . " 
Your forest and river life will not be changed by the Treaty, and you will have your annuities, as well, year by year, as long as the sun shines and the earth remains.	the Treaty not will change Your forest and river life , and you will have your annuities , as well , year by year , as long as the sun shines and the earth remains . 
Father Lacombe was thanked by several for having come so far, though so very old, to visit them and speak to them, after which the meeting adjourned until the following day.	several thanked Father Lacombe for having come so far , though so very old , to visit them and speak to they , after which the meeting adjourned until the following day . 
This was followed by adhesions taken by the latter Commissioners, on the 13th, from the Crees and Chipewyans at Fort Chipewyan.	adhesions taken by the latter Commissioners , followed This on the 13th , from the Crees and Chipewyans at Fort Chipewyan . 
In 1874, if I remember aright, a great spring freshet in the North Branch was accompanied by a tremendous ice-jam, which backed the water up, and flooded the river bank so suddenly that many Indians were drowned.	In 1874 , if I remember aright , a tremendous ice - jam , which backed the water up accompanied a great spring freshet in the North Branch , and flooded the river bank so suddenly that many Indians were drowned . 
This curious custom is more fully referred to in a forthcoming work on Indian folk-lore, traditions, legends, usages, methods and manner of life, etc., by Mrs. F. H. Paget, of Ottawa.	Mrs. F. H. Paget , of Ottawa more fully refers to in a forthcoming work on Indian folk - lore , traditions , legends , usages , methods and manner of life , etc . , This curious custom . 
